date,username,to,replies,retweets,favorites,tweet,geo,mentions,hashtags,id,permalink
2019-08-19 16:53:42,taylorswift13,,3259,18179,108430,- @amazonmusic: what color lips would you like for this commercial? - Me: yespic.twitter.com/U636ofm97w,,@amazonmusic,,1163494258416005120,https://twitter.com/taylorswift13/status/1163494258416005120
2019-08-18 16:00:05,taylorswift13,,8266,22295,146479,Okay NOW there are five holes in the fence pic.twitter.com/I5093bDJaF,,,,1163118375607963648,https://twitter.com/taylorswift13/status/1163118375607963648
2019-08-17 18:08:45,taylorswift13,troyesivan,2718,12832,105772,Grinning at this tweet!! And always in awe of your music https://twitter.com/troyesivan/status/1162742608730439684 …,,,,1162788369593708549,https://twitter.com/taylorswift13/status/1162788369593708549
2019-08-17 18:07:12,taylorswift13,KeithUrban,2977,15561,148465,ARE YOU KIDDING ME THIS IS THE NICEST THING ANYONE HAS EVER SAID - you’re just the best and so kind to say this https://twitter.com/KeithUrban/status/1162763090594865154 …,,,,1162787978890108930,https://twitter.com/taylorswift13/status/1162787978890108930
2019-08-16 19:34:47,taylorswift13,,5895,42504,153075,"Lover Friday, August 23. Pre-add, pre-save, pre-order: https://taylorswift.lnk.to/lover pic.twitter.com/PbxN49rYEh",,,,1162447632096272391,https://twitter.com/taylorswift13/status/1162447632096272391
2019-08-16 18:38:32,taylorswift13,,4298,29985,187567,There’s a dazzling haze...pic.twitter.com/elbgJ1r948,,,,1162433477935075328,https://twitter.com/taylorswift13/status/1162433477935075328
2019-08-16 04:30:22,taylorswift13,,6769,36603,131667,Have I known you 20 seconds or 20 years? https://taylorswift.lnk.to/Lover-song pic.twitter.com/EBoZXIbORm,,,,1162220028592181256,https://twitter.com/taylorswift13/status/1162220028592181256
2019-08-15 18:14:02,taylorswift13,,4796,21432,104033,New song “Lover” is out tonight at midnight eastern! The music video will premiere after a very exciting @YouTube Live situation on August 22 at 5pm eastern!pic.twitter.com/QynoYgkqQ7,,@YouTube,,1162064925067567111,https://twitter.com/taylorswift13/status/1162064925067567111
2019-08-13 15:07:51,taylorswift13,,3885,18096,137452,pic.twitter.com/dMxVzYGxgG,,,,1161293291608035328,https://twitter.com/taylorswift13/status/1161293291608035328
2019-08-12 03:04:06,taylorswift13,,2326,12069,109019,The thirteens really jumped out. @alexmorgan13 @KevinMazurpic.twitter.com/lmBydAQRyp,,@alexmorgan13 @KevinMazurpic,,1160748766447710209,https://twitter.com/taylorswift13/status/1160748766447710209
2019-08-11 21:28:43,taylorswift13,,4600,19905,138098,Threw a party to celebrate with the people who made the ME! & YNTCD videos with me- and we had so much fun that ‘Drunk Taylor’ is trending on Twitter. CHEERS. pic.twitter.com/HPvQlSDSBM,,,,1160664364543827969,https://twitter.com/taylorswift13/status/1160664364543827969
2019-08-11 00:07:54,taylorswift13,,5557,22175,167015,pic.twitter.com/atH7d2Xk94,,,,1160342039134949377,https://twitter.com/taylorswift13/status/1160342039134949377
2019-08-09 02:52:34,taylorswift13,,3401,19689,151153,Can’t stop won’t stop twinning with Paddington. pic.twitter.com/ES9ufw8ZD8,,,,1159658701118029824,https://twitter.com/taylorswift13/status/1159658701118029824
2019-08-08 23:10:25,taylorswift13,,3941,25702,163926,I’d be a fearless leader. I’d be an alpha type.pic.twitter.com/bzIchKUtJB,,,,1159602795097362432,https://twitter.com/taylorswift13/status/1159602795097362432
2019-08-08 18:05:09,taylorswift13,,3238,21432,160595,pic.twitter.com/levuCpqV94,,,,1159525974637084672,https://twitter.com/taylorswift13/status/1159525974637084672
2019-08-08 15:07:00,taylorswift13,,2282,12658,79033,"Wanted to thank @abby_aguirre for writing such a thoughtful piece and for diving into my pastel cryptic world of hints, Easter eggs, and numerology. We also talked about sexism, equality, and all things Lover. I ate an entire cheese plate by myself. On stands soon-ish.pic.twitter.com/n9vP3Vbpql",,@abby_aguirre,,1159481139804999681,https://twitter.com/taylorswift13/status/1159481139804999681
2019-08-08 14:08:28,taylorswift13,,4547,29459,180461,"My heart’s been borrowed and yours has been blue. All’s well that ends well, to end up with you. pic.twitter.com/CECesxb8do",,,,1159466408893386752,https://twitter.com/taylorswift13/status/1159466408893386752
2019-08-08 13:11:22,taylorswift13,,4541,20706,117609,"WELL SO THIS IS A THING THAT’S HAPPENING. September issue of @voguemagazine and I’m so so so grateful to Anna, Tonne Goodman, Sergio Kletnoy and basically anyone who was like ‘yeah she can be on the Sept issue cover’. What an amazing experience shooting with @inezandvinoodh.pic.twitter.com/Aj7ocN6VLg",,@voguemagazine @inezandvinoodh,,1159452041355415552,https://twitter.com/taylorswift13/status/1159452041355415552
2019-08-07 22:27:07,taylorswift13,,4238,17433,129997,pic.twitter.com/XVgtNCXWmT,,,,1159229511587827715,https://twitter.com/taylorswift13/status/1159229511587827715
2019-08-05 19:21:04,taylorswift13,,5318,21588,164238,pic.twitter.com/OubigHdps6,,,,1158457914870456326,https://twitter.com/taylorswift13/status/1158457914870456326
2019-08-03 08:02:21,taylorswift13,,5089,21840,178869,pic.twitter.com/zQ4DUaRCD7,,,,1157562333297664000,https://twitter.com/taylorswift13/status/1157562333297664000
2019-07-25 21:10:18,taylorswift13,,6208,29565,224273,What if I’m alright right here?pic.twitter.com/nHWcaSVPAM,,,,1154499139088113674,https://twitter.com/taylorswift13/status/1154499139088113674
2019-07-23 21:57:52,taylorswift13,,3641,18510,99669,So excited to show you the deluxe versions of Lover! You can get it at @Target in the US or on my website! Cheers! http://taylorswift.lnk.to/lover-dlx pic.twitter.com/Qi8IqmcDlB,,@Target,,1153786331845103621,https://twitter.com/taylorswift13/status/1153786331845103621
2019-07-23 21:25:11,taylorswift13,,5985,41525,154309,I’ve been the archer I’ve been the prey Who could ever leave me darling... But who could stay? https://taylorswift.lnk.to/TheArcherTW pic.twitter.com/b2hZ2cHfkf,,,,1153778107150557184,https://twitter.com/taylorswift13/status/1153778107150557184
